,Cancer_Q
63,Over a year ago I was having Skin tags behand my Pecker Dr. Remove it and the result was I have HPV type 26 … so after she make Pap smear and take sam?
64,PCP examined a lump on my testicles. Didn't seem too concerned it was cancer but could. Ordered ultrasound and followup in two weeks. Shuld I worry?
65,Path on mole came back mildly atypical but no clear margins. Derm gave choice to watch or take more. I'm having more taken. Could change to Mel?
66,Pathology on recently excised small neck lesion has just come back showing suspect cells at the margins suggesting that a larger excision is now required. Is there any other or additional procedure available to neutralise these suspect melamine cells?
67,"Pathology report for mole biopsy said ""specimen received in formalin. Surgical margins marked green"". My doctor didn't mark it green. Does the pathologist do this? I'm worried it's not my mole."
68,"Pathology said possible spitz nevus cells, surgery set in month. Should I find someone who can do it sooner? I've heard can be confused with melanoma."
69,Patient vomited five times after excision of lipoma in his forehead?
70,"Pea-size lump, 3-4 mm found on both breasts by sonogram. Refused 2nd manno, did biopsy today. Wrong to refuse 2nd mammo? Will biopsy suffice?"
71,Persistent clear l nipple d/c 1 duct only. Nipple sono and prolactin good. Get a mammogram too or just prob hormonal?
72,Persistent pain at 9oclock in left breast for a year. Last week doctor found lump but ultrasound and mammogram showed nothing. What now?
73,"Picked off mole (maroon, black tissue initially mistook as blood blister)what I realized later looked exactly= Nodular melanoma. Would bx still be accurate for diagnosis since I picked off visible lesion."
74,Pigmented vertical bands are commonly seen on the nails.  At what point would you consider biopsying it?
75,Please look my leg pictures. I had a fiberglass cast on for 3wks removed 9 months ago. Are the changes in my skin due to crps or are they from thecast?
76,"Please tell me, could a chest MRI detect a lump in the breast?"
77,"Red uneven border with defined dot in center, had for 4 mos on my palm, drs don't knowwhat it is. Had a biopsy done for Lyme and it was negative. Help!"
78,Rt breast can see lump when I llean back. I have had gyno exam. Mam sept 2012 ok and us 6/13 said dense fibrograndular tissue. Negative 1? Worry?
79,"Seborrheic keratosis in the mucous membrane of labia minora with follow up every 6 months, is it acceptable diagnosis for black spot?Seen by dermoscope"
80,"Set to have diagnostic mammo & ultrasound on May 4, for mass in left breast. Have a new dent/dimple in right? Should I call the dr?"
81,"Should I get a third opinion from a breast specialist? During a routine exam, a lump was found in my right breast. Had a mammogram & sonogram & the doc said he was not seeing anything. Went to a breast specialist who reviewed the films & did a physical ex"
82,"Should i stop taking femhrt since after 9 years of mammos i had to undergo 2nd mammo, ultrasound and MRI recently, I have been on prescription  7months?"
83,Since i've never been to the doctors for anything other than a cough. What to expect for a breast exam?
84,"Sir.... Can u please tell me the causes of abnormal breast enlargment, with no lump or no cancer. Normal menstrual cycle, n normal every thing?"
85,Skin biopsy of forehead came back with invaginating and dilated follicle with dermal fibrosis.Dr took another biopsy what are they looking for?
86,Skin biopsy take sample from foot or hip?
87,"There is a raised welt next to an incision on my cheek from basal cell removal 7 weeks ago.  It is firm, massaging does not help, what can be done?"
88,They found a breast lump but studies show it is benign. Can I get it removed anyway?
89,They found patches on my cervix and took a biopsy.  Im scarred it might b cancer.  ?
90,Tongue biopsy scar tissue make it hard to talk?
91,Two masses were found in the right breast of a 45 female with no symptoms or tenderness. What is the standard treatment protocol in the US.
92,What are the chances an area in the breast has been biopsied twice by two different radiologists and both miss the target? 9mm area.
93,What are the tests for breast abscess?
94,"What can I do about being scared of breast imaging test? I have found what i think is a small lump in my breast, but i'm absolutely terrified of doing an tests. At the same time i know i need to get this checked out. What is the best way i can prepare mys"
95,What does it mean if mammogram tech asks if you had change in weight since your last mammogram?
96,What happens if derm doc biopsies part of your tattoo?
97,What happens if your breast ultrasound comes back abnormal?
98,"What is a fuzzy breast lump? My friend just had an ultrasound, and the dr said the outside of the lump looked ""fuzzy"". What does this mean? She also had to get a biopsy and is now awaiting the results."
99,"Which acr and bi rads would you choose for this mammogram? 41 y/o, mid perimenopause, irreg.Periods,  small breasts. Would like to have implants."
100,"Who's responsibility is it to diagnose a biopsied piece of skin, for cancer, the lab, or the dermatologist who will perform the excision?"
101,Why are markers left in the chest of previous breast cancer patients? I can see them on X-rays and do they hurt?
102,Why do benign breast lumps need a close clinical follow-up?
103,Y if a path report says a sun spot would they take it out again when it grew back? What r they checking for?
104,Yesterday I had bloody discharge from an areolar gland. Saw md and have mammogram scheduled. What conditions could cause this?
105,40 year old diagnosed with biopsies with cancer has a grapefruit size ganglion in her chest. Blood and bone cancer has been ruled out. Any ideas. Has had 3 different oncologist. Still looking for cau?
106,Can an ENT diagnose cancer?
107,Can an abdominal  xray see cancer/ tumors in a 5 yr old child?
108,Can cancer be mistaken for boop?
109,"Can you be pregnant with cancer, but have your baby free of cancer?"
110,Can you clarify what cancer really is?
111,Diagnosed w/ pancreatic cancer? Will they remove if now?
112,Does an ultrasound see cancer in the larnyx?
113,Does it mean I have cancer or something?
114,Dr what is the difference between mds and dysmyelopoiesis are they both cancer?
115,Dr. Is testing for bladder cancer but I do not want it to hurt. It this possible?
116,Found out I have barretts. Its not cancer yet. Can I heal from this or will I always have this? I'm so worried. Is there something I can do?
117,Freet4 means they suspect cancer? If recommended a an. Oncologist
118,Hi doctors my brother 66 years old he had colon cancer stage 3 about 8 month ago he is done for chemical treatment cancer coming back 10 days ago what?
119,"Hiccups after cancer treatment, should I be concerned?"
120,"History of uterine cancer- after initial treatment, during check up, doctors said there are ""cells"" and need further check up. Is it recurrent cancer?"
121,How can I find hope as a cancer spouse?
122,How do I find out what is the reason behind colon cancer?
123,How do I know exactly what is cancer and how does it start?
124,How does cancer go undetected by a doctor?
125,How does cancer start?
126,How to determine if I have kidney cancer or not?
127,How to determine or find out if you have cancer or symptoms of cancer?
128,How to find most up to date information on carcinoid tumors?
129,How will I be checked for cancer recurrence?
130,How would I be able to tell  if I have cancer?
131,I had an MRI a week ago to see if prostate cancer spread to other organs.  Doctor has not called me with results.  Could that mean good or bad news?
132,I have a friend who was just recently diagnosed with cancer. What would be something nice to give her?
133,I have a precancerous pancreatic cyst in the head portion.  There is a history of pancreatic cancer in my family.  What should my next step be?
134,I have cancer  what you suggest for me? Thanks
135,"I would just like to know if I had sarcoma (bone cancer), it is now ""gone"" what would be the chances of getting any type of cancer again? And what cancers that could be?"
136,If none of my blood relatives have ever had cancer does that mean i won't get cancer?
137,Is Crohn's disease like cancer and why are they sending my sister to the cancer center to receive blood?
138,Is anal squamous cell cancer cureable? What kind of doctor should a person see if they suspect they have it? What is bowens disease?
139,Is cancer always bad? Can my cancer get cancer? And if so would it kill my cancer or just give me extra cancer?
140,Is cancer can be a family disease? What tests should be conducted periodically to ensure im cancer free. I have a family history of cancer.
141,Is depression a common symptom before the diagnosis of colonel cancer? I am asking for my dad.
142,Is it uncommon to have prostate cancer go undetected for several years?
143,Is liver cancer hard to diagnose?
144,"Is mds cancer? Or pre-cancer? I know it can turn into aml, but it may stay mds. Am lost in different papers I read"
145,"Is opsoclonus-myoclonus-ataxia a genetic problem, if coming from breast cancer. My gran got it after breast cancer. I have autoimmune problems and was wondering, if it is a one off thing or genetic."
146,Is there a gyno-oncologist in my area that will work with an obese female? My primary dr diagnosed me with ovarian cancer. He is a medical oncologist and cannot do surgery. He sent me to gyno-oncologist  in hawthorne and he said he could not do anything w
147,My boyfriend has ewing sarcoma cancer. Is there any positive news about this?
148,"My dads 60yo, diagnosed with pneumonia after, hospital now wants further CT scan of abdomen, is this looking like cancer? Family history cancer."
149,My doctor is going to 'examine' me for colon cancer and I'm really embarressed. What should I do?
150,"My doctor thinks I might have brain cancer. Wants more info to confirm, but I am worried. What exactly is it?"
151,"My mother has lung cancer, subject to biopsy. What should we expect to happen if she does?"
152,My son has cancer. Is that something serious?
153,Please describe the most common cancer in children?
154,Please describe the next step after a lung cancer diagnosis?
155,Please describe ways to prevent cancer in general?
156,Please explain who tracks newly diagnosed cancer cases regarding cancer clusters?
157,Please let me know if there is such thing as heart cancer?
158,The word displacha was used at my last cancer visit. How does it relate to my tongue cancer.
159,Wanted to know where can I find statistics on lung pain and how often that is lung cancer?
160,"What I , am asking is if ovary is enlarged due to cancer ia it from a mass or can cancer make ovary enlarge without any type of mass?"
161,What age is pancreatic cancer common. 23yofemale worried?
162,What does it mean when they say in between a cancer and not when they saw the pathological result for the ovarian cyst? Is it more likely for cancer?
163,What does prostate cancer look like?
164,"What does the ""grade"" refer to when talking about  endometrial cancer?"
165,"What does the doctor do during a bladder biopsy, and how does that help him figure out whether I have cancer?"
166,What exactly does early detection mean when refering to breast cancer?
167,What exactly does it mean if someone is diagnosed with triple-negative breast cancer?
168,What happens after a cancer diagnosis? What are the next steps?
169,What is cancer? What exactly goes wrong?
170,What is eye cancer like and is it cureable?
171,What is recommended  follow up for lung cancer (squamous 2a) after 5years?
172,What is the diagnosis code for history of metastatic uterine cancer?
173,What is the first thing you do when you find stage IV cancer on a pap smear..Schedule surgery or chemo or what exactly?
174,What sort of problem is anal cancer?
175,"What to do if I have cancer and could possibly be pregnant, help?"
176,What's preventive tips of blood cancer and other cancers?
177,When does someone need to see a colorectal cancer surgeon?
178,Will a ER doctor tell you if you have cancer?
179,Will we find out in a few years that it causes cancer?
180,Worried about pancreatic cancer. All test normal but now getting bouts of diarrhea every 4-5 days. Does pancreatic cancer present itself this way?
181,"10cm sigmoid tumor obstructing bowel, terminal colorectal cancer since 2010 extensive disease. Choice is stent or stoma please help not sure what to do?"
182,"23 old boy   suffering from pancreatitis since  last 50 days , he had two major surgery,  , now  he has  fistula in small  intestine, can u this doc. ?"
183,Any  treatment for small intestinal blockage in a young cat other than surgery?
184,Any risk of bowel perforation during hysterectomy?
185,Anyone experienced with ways to speed up colon transit time?
186,"Appendix was on my left side, but so is my heart - was it intestinal malrotation or situs inversus incompletus? Is malrotation a form of incompletus?"
187,"Appendix, colon cancer and abdominal hernia mesh implant scar tissue causing periodic bowel obstructions. Can anything be done about the scar tissue?"
188,"Appendix, colon cancer and bdominal hernia mesh implant surgeries.  Lots of scar tissue causing bowel blockages.  Can anything be done about it?"
189,Appx what percentage develop a stricture after surgery 4 colon/bladder fistula & diverticulitis? Is the balloon treatment (dillation?)very successful?
190,Can resection surgery at the junction of the small and large intestine cause chronic sibo? Assume the ileocecal valve was removed.
191,Can scar tissue from femoral hernia cause bowel blockage or cause blood in the stool?
192,Can scarring of terminal illeum causing stricture due too ibd ever be reversed through medication or is surgery inevitble?
193,Consequences and treatment for perforated colon?
194,Constipation after surgery?
195,Constipation following myomectomy?
196,Doc could not complete colonoscopy due to severe angulation in sigmoid and thickened colon  had anesthesia.  Any future problem?What next?
197,Does a person of the age of 50 with a colostomy bag for over 13 years qualify for a reversal surgery. Her large intestines were removed because palips?
198,For how long can someone live with a bowel perforation?
199,For what reasons might a patient with sbo (small bowel obstruction) vomit and having abdominal pain?
200,Had my colon re sectioned 7 yrs. ago. what are the chances of a restriction now?
201,"Have frequent diarrhea, had a laparoscopic ovarian cystectomy a month ago, rarely had diarrhea before operation, could the two be linked? What can I do?"
202,Have twisted colon & constipation. 45 days ago had robotic hysterectomy. Constipation & bloating is worse than before surgery. I'm wondering why.
203,Having surgery to remove severe digestive tract narrowing caused by severe sigmoid diverticulosis what will they do & is there after effects?
204,"Hello, I am scheduled for a double balloon enteroscopy. I would like to know what the  % risks and complicationsare. I have small duct chron pancrea.?"
205,Help please? I want to know what are the chances of a 95 year old surviving gall bladder surgery?
206,"Hi all, I'm having to open my bowel 5/6 times a day, can u advice please?"
207,Hi I want to know what's the percentage of colitis operation me waking up after it?
208,How long can you survive with a blocked bowel on TPN?
209,How long does it take to recover from appendix removal and intestine being detached from abdominal wall?
210,How long does it take to recover from small bowel resection for Crohn's disease?
211,How long from post op paralytic ileus to severe stomach distension?
212,How long should it be before you have a bm after a sidgmoid colectomy?
213,How long to recover from major bowel obstruction?
214,How many percent of crc survivors will have normal bowel functions? Will repeated post-op psudo bowel obstructions likely to continue for a lifetime?
215,How much time can you live with perforated bowel with no treatment?
216,I had a disease named ulcerative colitis then I surgeries done remove the whole colon. They put a pouch there. Suggest for further life eating n life?
217,"I had a gastric sleeve surgery 4 months ago, I only have bowel movement maybe once a week. I think I now have hemorrhoids, is this all related?"
218,I had a hemroidectomy  on  october  10  and  still in pain having bms. My stool  is the size of a pencil. Will I have to have surgery  for stinonis  ?
219,I had a hernia repair two days ago. I have not had a bowel movement since. I have pass gas and urinated. Is this normal after surgery?
220,I have 2to hernias from colon resection (hemicolectomy) which surgeon should correct TSH and incisional hernia with transverse colon in umbilical site? Colon or hernia specialist
221,"I have Crohn's & my GI dr said I need a resection of my ileum. Can this be done through laparoscopy? What is recovery like- # days in hosp, eating etc"
222,I have a 9cm ovarian cyst attached to my bowel. Was referred to gynecologic oncologist for bowel resection. Scared ill wake up with a colostomy bag?
223,I have a history of bowel diseasw...colonic inertia led me to have an nearly complete colectomy. I have 5 inches of my large intestine left at multipl?
224,"I have a temporary ileostomy from a total colectomy, how common are hematomas and infections or other problems in the reversal surgery site?"
225,I have an ileostomy and mucous fistula. I have hnpcc and want to know if my redundant bowel can be removed for my own comfort and preventative treatme?
226,I just had hernia surgery a week ago and had to strain to have a bowel movement and now have vaginal bleeding could it be from the surgery?
227,"I need to have sigmoid resection due to stricture from diverticulitis, I would like to know the chances of stricture coming back after operation?"
228,"I supposedly have an intussuscepted appendix.  Surgery has been offered, but i don't know what to do.  Any recommendation?"
229,I'm almost 2 weeks post ventral hernia surgery and have been very constipated. I had bowel movement & there was a lot of blood. Should I be concerned?
230,"I've had a perforated bowel, and became septic following my c-section 13 months ago and now I am pregnant. What are the complications?"
231,I'm 29 going for ulcerative colitis surgery and then having pouch surgery. Later in life what's the chances of geting pergnant later in life.
232,In situs inversus is the bowel reversed as well?
233,In ulcerative colitis what percentage of patients the pouch fails to function properly and may have to be removed?
234,Is a colon resection always necessary following an acute diverticular abscess?
235,Is a kinked intestine paiunful I have a bloated stomach 3 weeks after a hernia operation.
236,Is any surgery recommends for constipation?
237,Is the stem cell therapy effective in curing abdominal adhesions/bowel obstruction?
238,Is there any pain involved in an endoluminal gastroplication?
239,"M58, was admitted to ER for Intestinal obstruction at inguinal hernia. now released but constipation of two days. may take lactulose?but i am diabetic"
240,"Massive gastrointestinal bleeding after abdominal surgery, other causes besides surgeon error?"
241,"Should I have a colonsocpy?  I had 36"" of colon removed in 2006 with reversed 3 months later.  Had hernia repair from that surgery in 2010."
242,Sigmoidectomy in 2014 for diverticulitis. Just had a reinsurance. Dr. is talking about removing large colon. Is this reasonable?
243,Soft foods diet after colon open surgery?
244,"What are the hidden rare forgotten reasons behind absence of bowel movement (lazy bowel) for Crohn's patients, even Crohn's is treated successfully?"
245,What are the pros and cons for surgery for diverticuli desease?
246,What kind of diet restrictions must be made after having a jejunal resection for abdominal obstruction? The surgery happened 2 months ago.
247,"What point should I consider surgery for diverticulitis, 2 flare ups in a month.  (had diverticulosis for years) last scope was nov. 13."
248,A CT scan shows mild wall thickening in small bowel (ileum). It was there 10 months ago on other ct. No fluid/other problems seen. Likelihood cancer?
249,"A voluminous lesion in the tail of the pancreas also encompassing the greater curvature of the stomach,12cm tumor.is dangerous  fibroscopy?operated?"
250,"CT SCAN ABD/PELVIS W/O CONTRAST:WHAT IT MEANS? BOWEL:ORAL CONTRAST IDENTIFIED IN SMALL AND LARGE BOWEL LOOPS. No intestinal abnormality, air or fluid."
251,CT Scan found mesenteric spiculated fibrous mass wrapped around gastric antrum & transverse colon. Type of diagnostic test? Type of Surgeon? Thanks
252,CT entrography done but did not show cause for partial obstructions with ileostomy. What next still in pain and still obstructing if eat solids.
253,CT report states periampullary duodenal diverticulum. What does that mean?
254,Can a hepatic adenoma be misdiagnosed for irritable bowel syndrome? What are the symptoms that may come along with a hepatic adenoma?
255,Can colitis cause similar SX to appendicitis? CT WO contrast showed mild thickenin transverse colon diverticula sigmoid. 9 months on and off RLQ pain.
256,Can decending colon calcification be harmful? Am 23 my pth and ca phasporous test r normal.
257,Can endometrial scarring cause obstruction of fetus view on US at 16 weeks?
258,Chronic ab pain CT show submubmucosal enhancement and narrowing of sigmoid and descending colon now those areas are collapsed what does it mean?
259,"Colon - cecum, ascending, hepatic flexure, transverse, splenic flexure, descending, sigmoid, rule out mcn, "" are multiple tan, irregular to linear soft?"
260,"Colonoscopy revealed grade 1 external hemorrhoids, hypertrophied anal papilla (3mm), & tortuous sigmoid colon. Please explain what this all means."
261,Colonoscopy says Ulceraroproliferative growth noted at 20cm from anal verge extending upto 3cm and 50%circumference. Diverticulae noted in descending 40cm from anal verge. Does this mean cancer?
262,Colonoscopy showed extrinsic compression in the cecum not visible on cat scan result said mass effect in cecum from feces?
263,Ct-left lower abdomen hazy vague increased attenuation in mesentery lateral to loops of small bowel. Could this be adhesions from surgery year ago or what could it mean?
264,DX reports that my gallbladder is partially distended without surrounding inflammation or internal calcification. Been having pain in upper abdomen.
265,Dear Dr. I got sonography impression as a Mild Thickened Ileocaecal junction and Caecum and left Renal cortical Cyst. How can my surgeon treat this?
266,Does fluid and stool filled loops in small bowel w abnormal gas pattern w no inflammation or obstruction a sign of ileus?
267,Does gallbladder cancer appear as acalculous gallbladder wall thickening?Or as a specific area with scar like appearance?
268,"Evidence of mild wall thickening in descending colon, maximum thickness is 5.8 mm. What does it mean & is it a cause to worry? Is it related to cancer"
269,Had a pelvic ct. What does adnexal hyperemia and bladder not well distended mean?
270,I had a upper abdominal CT scan and in the report is said my bowel is grossly unremarkable. Does that mean my colon? Is colon and bowel the same thing
271,"I had abdominal pain. Ultrasound showed lots of fluid, CT scan showed thickening of colon. Also have WBC count of 17.9. Is thickening reversible?"
272,I wanted to know is bladder muscle wall with recurrent distentiondue to hyperplasia or hypertrophy?
273,I was wondering is bladder muscle wall with the recurrent distention a form of hyperplasia or hypertrophy?
274,I would like more information on results from a ct that showed GI circumferential wall thickening and mild enhancement throughout the entire colon?
275,"If imaging shows focal area of ileus, can this be indicative of small bowel perf?"
276,"My colonoscopy identified a ""prominent IC Valve"" with underlying lipomatous tissue. What is an IC Valve?"
277,My ct scan showing sutble residual terminal ileal thickening and ic junction what is possibility.
278,"On my CT says: circumferential wall thickening large bowl. Inflammatory bowel disease, infectious colitis among others...What does this means?"
279,"Pain in the left abdomen side,Anal pain, ultra sonic results: shows bulky right seminal vesicle with cystic dilatation of seminal ducts. ?"
280,Part of the gall bladder peritoneum is continuous with a reflection of peritoneum on the liver's surface: what does this mean?
281,Pathology of my gallbladder showed granulomatosis is this likely to be in other parts of the body?
282,Pet/ct scan result states increased tracer accumilation around the biliary stent to the duodenum does this mean the cancer is spreading to intestine?
283,Sigmoid colon cancer removed surgically. After 10 days ultrasound impression is ' subacute small bowel intestinal obstruction and mild intraperitoneal free fluid collection. Is this common?
284,"Small posterior sigmoidocele which indents the anterior wall of the rectum, but doctor said its normal however I did not expel all the barium is it?"
285,So the sonogram only measure the diameter of the lumen and not including the walls of the aorta? So my inner lumens diameter is 14mm excluding walls?
286,Ultrasound for lower abdomen     urinary bladder is normal in wall thickness and intraluminal contents.  Uterus is normal in size and anteverted in po?
287,What are the signs and findings with intestinal malrotation?
288,What are the symptoms of thickening of colon wall?
289,What does 2 folds in your gallbladder mean?
290,What does a fat strand on appendix indicate?
291,What does ct scan results mean? Large amount of colonic stool confirm moderate amount of free peritoneal air as well as air in the anterior wall and the retro peritoneum. The study was with IV contrast only.
292,"What does it mean to have, as an adult, a ""rather large"" amount of lymphatic tissue in the nasopharynx? Nasal channels ""normal"" after endoscopy."
293,"What does mild enlargement and stranding noted throughout the appendix mean, rlq pain, diarrhea, normal labs and stool sample normal, what could it be?"
294,"What does mucosal thickening of the transverse duodenum, hiatal hernia and dependent bibasilar acelectasis mean?"
295,What is complications of bladder wall thickend?
296,What is meant by 'thickening of the pancreas'?
297,Can age matter for breast cancer?
298,Can breast cancer be prevented?
299,Can breast cancer cause fainting?
300,Can breast cancer only show up on the breast?
301,Can breast cancer spread to the kidneys?
302,Can breast cancer spread under your arm?
303,Can breast reconstruction increase the chances of breast cancer?
304,Can i tell me how i can tell if I have breast cancer?
305,Can mammograms cause cancer? If so can you share your information?
306,Can mammograms detect all kinds of breast cancers?
307,Can mammograms detect all types of breast cancer?
308,Can mammograms detect breast cancers?
309,Can mastitis increase the risk of breast cancer?
310,Can someone with lobular carcinoma breast feed?
311,Can the radiation from a mammogram cause cancer?
312,Can there be any breast cancer worse than inflammatory breast cancer?
313,Can there be any correlation between breast cancer and lung cancer?
314,Can touching or rubbing your breasts cause breast cancer?
315,Can you please explain breast cancer?
316,Can you please explain why breast cancer is the most important?
317,Can you tell me about breast cancer and its cure?
318,Can you tell me about breast cancer surgery?
319,Can you tell me about breast cancer survivors with mastectomy?
320,"Can you tell me about breast cancer, and testicular cancer?"
321,Can you tell me are most biopsies positive for breast cancer?
322,Could abortion cause breast cancer?
323,Could anything besdes breast cancer cause dimpling of breast skin?
324,Could breast cancer be inherited?
325,Could breast cancer usually metastasize?
326,Could breast implants give you breast cancer?
327,Could you have breast cancer at age 13?
328,Do I have breast cancer I have a now between my breast could it be breast cancer?
329,"Do I have breast cancer, risk if one grandma had it?"
330,Does deodorant really cause breast cancer?
331,Does fibroadenoma turn into cancer?
332,Does having ductal carcinoma mean that you have breast cancer?
333,Does mastis lead to breast cancer?
334,"Have you diagnosed someone young with intraductal papilloma, carcinoma in situ or breast cancer?"
335,"Hello docs, is breast cancer the same as breast carcinoma?"
336,Help please! is breast cancer painful?
337,How and where does breast cancer spread?
338,How are brca1 and brca2 related to the development of breast cancer?
339,How can  the doctor check you for breast cancer?
340,How can I be supportive of my best friend who has breast cancer?
341,How can they detect breast cancer without a mammogram?
342,How can you actually die from breast cancer?
343,How can you detect breast cancer?
344,How can you prevent breast cancer?
345,How can you prevent breast cancer?
